area_code	areatype_code	area_name
1900003	M	Southwest Iowa nonmetropolitan area	
1900004	M	Southeast Iowa nonmetropolitan area	
2000000	S	Kansas	
2000001	M	Kansas nonmetropolitan area	
2100000	S	Kentucky	
2100001	M	West Kentucky nonmetropolitan area	
2100002	M	South Central Kentucky nonmetropolitan area	
2100003	M	West Central Kentucky nonmetropolitan area	
2100004	M	East Kentucky nonmetropolitan area	
2200000	S	Louisiana	
2200001	M	Hammond nonmetropolitan area	
2200002	M	Natchitoches nonmetropolitan area	
2200003	M	Winnsboro nonmetropolitan area	
2200004	M	New Iberia nonmetropolitan area	
2300000	S	Maine	
2300001	M	Northeast Maine nonmetropolitan area	
2300002	M	Southwest Maine nonmetropolitan area	
2400000	S	Maryland	
2400001	M	Upper Eastern Shore nonmetropolitan area	
2400002	M	Garrett County, Maryland nonmetropolitan area	
2400003	M	St. Mary's County, Maryland nonmetropolitan area	
2500000	S	Massachusetts	
2500001	M	Nantucket Island and Martha's Vineyard nonmetropolitan area	
2500002	M	Southwest Massachusetts nonmetropolitan area	
2500003	M	Northwest Massachusetts nonmetropolitan area	
2500004	M	North Central Massachusetts nonmetropolitan area	
2600000	S	Michigan	
2600001	M	Upper Peninsula of Michigan nonmetropolitan area	
2600002	M	Northeast Lower Peninsula of Michigan nonmetropolitan area	
2600003	M	Northwest Lower Peninsula of Michigan nonmetropolitan area	
2600004	M	Balance of Lower Peninsula of Michigan nonmetropolitan area	
2700000	S	Minnesota	
2700001	M	Northwest Minnesota nonmetropolitan area	
2700002	M	Northeast Minnesota nonmetropolitan area	
2700003	M	Southwest Minnesota nonmetropolitan area	
2700004	M	Southeast Minnesota nonmetropolitan area	
2800000	S	Mississippi	
2800001	M	Northeast Mississippi nonmetropolitan area	
2800002	M	Northwest Mississippi nonmetropolitan area	
2800003	M	Southeast Mississippi nonmetropolitan area	
2800004	M	Southwest Mississippi nonmetropolitan area	
2900000	S	Missouri	
2900001	M	Central Missouri nonmetropolitan area	
2900002	M	North Missouri nonmetropolitan area	
2900003	M	Southeast Missouri nonmetropolitan area	
2900004	M	Southwest Missouri nonmetropolitan area	
3000000	S	Montana	
3000001	M	Eastern Montana nonmetropolitan area	
3000002	M	Central Montana nonmetropolitan area	
3000003	M	Southwestern Montana nonmetropolitan area	
3000004	M	Western Montana nonmetropolitan area	
3100000	S	Nebraska	
3100001	M	Western Nebraska nonmetropolitan area	
3100002	M	Central Nebraska nonmetropolitan area	
3100003	M	Northeastern Nebraska nonmetropolitan area	
3100004	M	Southeastern Nebraska nonmetropolitan area	
3200000	S	Nevada	
3200001	M	Western Central Nevada nonmetropolitan area	
3200002	M	Other Nevada nonmetropolitan area	
3300000	S	New Hampshire	
